,symbol
0,RRRP3
1,ALPA4
2,ABEV3
3,AMER3
4,ARZZ3
5,ASAI3
6,AZUL4
7,B3SA3
8,BPAN4
9,BBSE3
10,BRML3
11,BBDC3
12,BBDC4
13,BRAP4
14,BBAS3
15,BRKM5
16,BRFS3
17,BPAC11
18,CRFB3
19,CCRO3
20,CMIG4
21,CIEL3
22,COGN3
23,CPLE6
24,CSAN3
25,CPFE3
26,CMIN3
27,CVCB3
28,CYRE3
29,DXCO3
30,ECOR3
31,ELET3
32,ELET6
33,EMBR3
34,ENBR3
35,ENGI11
36,ENEV3
37,EGIE3
38,EQTL3
39,EZTC3
40,FLRY3
41,GGBR4
42,GOAU4
43,GOLL4
44,NTCO3
45,SOMA3
46,HAPV3
47,HYPE3
48,IGTI11
49,ITSA4
50,ITUB4
51,JBSS3
52,KLBN11
53,RENT3
54,LWSA3
55,LREN3
56,MGLU3
57,MRFG3
58,CASH3
59,BEEF3
60,MRVE3
61,MULT3
62,PCAR3
63,PETR3
64,PETR4
65,PRIO3
66,PETZ3
67,QUAL3
68,RADL3
69,RAIZ4
70,RDOR3
71,RAIL3
72,SBSP3
73,SANB11
74,SMTO3
75,CSNA3
76,SLCE3
77,SUZB3
78,TAEE11
79,VIVT3
80,TIMS3
81,TOTS3
82,UGPA3
83,USIM5
84,VALE3
85,VIIA3
86,VBBR3
87,WEGE3
88,YDUQ3
