,symbol,Date First Added
0,BBDC4,2005_1Q
1,BRAP4,2005_1Q
2,BBAS3,2005_1Q
3,BRKM5,2005_1Q
4,CMIG4,2005_1Q
5,CPLE6,2005_1Q
6,ELET3,2005_1Q
7,ELET6,2005_1Q
8,EMBR3,2005_1Q
9,GGBR4,2005_1Q
10,GOAU4,2005_1Q
11,ITSA4,2005_1Q
12,PETR3,2005_1Q
13,PETR4,2005_1Q
14,SBSP3,2005_1Q
15,CSNA3,2005_1Q
16,USIM5,2005_1Q
17,VALE3,2005_1Q
18,BRFS3,2012_2Q
19,CCRO3,2012_2Q
20,CIEL3,2012_2Q
21,CSAN3,2012_2Q
22,CPFE3,2012_2Q
23,CYRE3,2012_2Q
24,ENBR3,2012_2Q
25,GOLL4,2012_2Q
26,HYPE3,2012_2Q
27,ITUB4,2012_2Q
28,JBSS3,2012_2Q
29,RENT3,2012_2Q
30,LREN3,2012_2Q
31,MRFG3,2012_2Q
32,MRVE3,2012_2Q
33,SANB11,2012_2Q
34,UGPA3,2012_2Q
35,ABEV3,2017_1Q
36,BBDC3,2017_1Q
37,BBSE3,2017_1Q
38,EQTL3,2017_1Q
39,KLBN11,2017_1Q
40,MULT3,2017_1Q
41,RADL3,2017_1Q
42,WEGE3,2017_1Q
43,AZUL4,2021_1Q
44,B3SA3,2021_1Q
45,BPAC11,2021_1Q
46,CRFB3,2021_1Q
47,COGN3,2021_1Q
48,CVCB3,2021_1Q
49,ENGI11,2021_1Q
50,ENEV3,2021_1Q
51,EGIE3,2021_1Q
52,EZTC3,2021_1Q
53,FLRY3,2021_1Q
54,NTCO3,2021_1Q
55,HAPV3,2021_1Q
56,IRBR3,2021_1Q
57,MGLU3,2021_1Q
58,BEEF3,2021_1Q
59,PCAR3,2021_1Q
60,PRIO3,2021_1Q
61,RAIL3,2021_1Q
62,SUZB3,2021_1Q
63,TAEE11,2021_1Q
64,VIVT3,2021_1Q
65,TIMS3,2021_1Q
66,TOTS3,2021_1Q
67,YDUQ3,2021_1Q
68,RRRP3,2023_1Q
69,ALPA4,2023_1Q
70,ARZZ3,2023_1Q
71,ASAI3,2023_1Q
72,CMIN3,2023_1Q
73,DXCO3,2023_1Q
74,SOMA3,2023_1Q
75,IGTI11,2023_1Q
76,LWSA3,2023_1Q
77,CASH3,2023_1Q
78,PETZ3,2023_1Q
79,RAIZ4,2023_1Q
80,RDOR3,2023_1Q
81,SMTO3,2023_1Q
82,SLCE3,2023_1Q
83,VIIA3,2023_1Q
84,VBBR3,2023_1Q
85,ALSO3,2023_2Q
